Molecule: ./Results/5mli 
Step: add fragment, Previous ligand: [16*]c1cnn(C)c(=O)c1Cl, New ligand: CNc1cnn(C)c(=O)c1Cl, Score: 1.0 
Step: remove fragment, Previous ligand: CNc1cnn(C)c(=O)c1Cl, New ligand: CNc1cnn(C)c(=O)c1Cl, Score: 1.0 
Step: remove fragment, Previous ligand: CNc1cnn(C)c(=O)c1Cl, New ligand: CNc1cnn(C)c(=O)c1Cl, Score: 1.0 
Step: remove fragment, Previous ligand: CNc1cnn(C)c(=O)c1Cl, New ligand: CNc1cnn(C)c(=O)c1Cl, Score: 1.0 
Step: remove fragment, Previous ligand: CNc1cnn(C)c(=O)c1Cl, New ligand: CNc1cnn(C)c(=O)c1Cl, Score: 1.0 
Step: remove fragment, Previous ligand: CNc1cnn(C)c(=O)c1Cl, New ligand: CNc1cnn(C)c(=O)c1Cl, Score: 1.0 
Step: remove fragment, Previous ligand: CNc1cnn(C)c(=O)c1Cl, New ligand: CNc1cnn(C)c(=O)c1Cl, Score: 1.0 
Step: remove fragment, Previous ligand: CNc1cnn(C)c(=O)c1Cl, New ligand: CNc1cnn(C)c(=O)c1Cl, Score: 1.0 
Step: remove fragment, Previous ligand: CNc1cnn(C)c(=O)c1Cl, New ligand: CNc1cnn(C)c(=O)c1Cl, Score: 1.0 
Step: remove fragment, Previous ligand: CNc1cnn(C)c(=O)c1Cl, New ligand: CNc1cnn(C)c(=O)c1Cl, Score: 1.0 
Step: remove fragment, Previous ligand: CNc1cnn(C)c(=O)c1Cl, New ligand: CNc1cnn(C)c(=O)c1Cl, Score: 1.0 
Step: remove fragment, Previous ligand: CNc1cnn(C)c(=O)c1Cl, New ligand: CNc1cnn(C)c(=O)c1Cl, Score: 1.0 
Step: remove fragment, Previous ligand: CNc1cnn(C)c(=O)c1Cl, New ligand: CNc1cnn(C)c(=O)c1Cl, Score: 1.0 
Step: remove fragment, Previous ligand: CNc1cnn(C)c(=O)c1Cl, New ligand: CNc1cnn(C)c(=O)c1Cl, Score: 1.0 
Step: remove fragment, Previous ligand: CNc1cnn(C)c(=O)c1Cl, New ligand: CNc1cnn(C)c(=O)c1Cl, Score: 1.0 
Step: remove fragment, Previous ligand: CNc1cnn(C)c(=O)c1Cl, New ligand: CNc1cnn(C)c(=O)c1Cl, Score: 1.0 
Step: remove fragment, Previous ligand: CNc1cnn(C)c(=O)c1Cl, New ligand: CNc1cnn(C)c(=O)c1Cl, Score: 1.0 
Step: remove fragment, Previous ligand: CNc1cnn(C)c(=O)c1Cl, New ligand: CNc1cnn(C)c(=O)c1Cl, Score: 1.0 
Step: remove fragment, Previous ligand: CNc1cnn(C)c(=O)c1Cl, New ligand: CNc1cnn(C)c(=O)c1Cl, Score: 1.0 
Step: remove fragment, Previous ligand: CNc1cnn(C)c(=O)c1Cl, New ligand: CNc1cnn(C)c(=O)c1Cl, Score: 1.0 
Step: remove fragment, Previous ligand: CNc1cnn(C)c(=O)c1Cl, New ligand: CNc1cnn(C)c(=O)c1Cl, Score: 1.0 
Step: remove fragment, Previous ligand: CNc1cnn(C)c(=O)c1Cl, New ligand: CNc1cnn(C)c(=O)c1Cl, Score: 1.0 
Step: remove fragment, Previous ligand: CNc1cnn(C)c(=O)c1Cl, New ligand: CNc1cnn(C)c(=O)c1Cl, Score: 1.0 
Step: remove fragment, Previous ligand: CNc1cnn(C)c(=O)c1Cl, New ligand: CNc1cnn(C)c(=O)c1Cl, Score: 1.0 
Step: remove fragment, Previous ligand: CNc1cnn(C)c(=O)c1Cl, New ligand: CNc1cnn(C)c(=O)c1Cl, Score: 1.0 
Step: remove fragment, Previous ligand: CNc1cnn(C)c(=O)c1Cl, New ligand: CNc1cnn(C)c(=O)c1Cl, Score: 1.0 
Step: remove fragment, Previous ligand: CNc1cnn(C)c(=O)c1Cl, New ligand: CNc1cnn(C)c(=O)c1Cl, Score: 1.0 
Step: remove fragment, Previous ligand: CNc1cnn(C)c(=O)c1Cl, New ligand: CNc1cnn(C)c(=O)c1Cl, Score: 1.0 
Step: remove fragment, Previous ligand: CNc1cnn(C)c(=O)c1Cl, New ligand: [16*]c1cnn(C)c(=O)c1Cl, Score: 0.6319597069597069 
Step: remove fragment, Previous ligand: [16*]c1cnn(C)c(=O)c1Cl, New ligand: [16*]c1cnn(C)c(=O)c1Cl, Score: 0.6319597069597069 
Step: add fragment, Previous ligand: [16*]c1cnn(C)c(=O)c1Cl, New ligand: [16*]c1cnn(C)c(=O)c1Cl, Score: 0.6319597069597069 
Step: add fragment, Previous ligand: [16*]c1cnn(C)c(=O)c1Cl, New ligand: CNc1cnn(C)c(=O)c1Cl, Score: 1.0 
Step: remove fragment, Previous ligand: CNc1cnn(C)c(=O)c1Cl, New ligand: [16*]c1cnn(C)c(=O)c1Cl, Score: 0.6319597069597069 
Step: remove fragment, Previous ligand: [16*]c1cnn(C)c(=O)c1Cl, New ligand: [16*]c1cnn(C)c(=O)c1Cl, Score: 0.6319597069597069 
Step: remove fragment, Previous ligand: [16*]c1cnn(C)c(=O)c1Cl, New ligand: [16*]c1cnn(C)c(=O)c1Cl, Score: 0.6319597069597069 
Step: remove fragment, Previous ligand: [16*]c1cnn(C)c(=O)c1Cl, New ligand: [16*]c1cnn(C)c(=O)c1Cl, Score: 0.6319597069597069 
Step: remove fragment, Previous ligand: [16*]c1cnn(C)c(=O)c1Cl, New ligand: [16*]c1cnn(C)c(=O)c1Cl, Score: 0.6319597069597069 
Step: add fragment, Previous ligand: [16*]c1cnn(C)c(=O)c1Cl, New ligand: [16*]c1cnn(C)c(=O)c1Cl, Score: 0.6319597069597069 
Step: remove fragment, Previous ligand: [16*]c1cnn(C)c(=O)c1Cl, New ligand: [16*]c1cnn(C)c(=O)c1Cl, Score: 0.6319597069597069 
Step: remove fragment, Previous ligand: [16*]c1cnn(C)c(=O)c1Cl, New ligand: [16*]c1cnn(C)c(=O)c1Cl, Score: 0.6319597069597069 
Step: remove fragment, Previous ligand: [16*]c1cnn(C)c(=O)c1Cl, New ligand: [16*]c1cnn(C)c(=O)c1Cl, Score: 0.6319597069597069 
Step: remove fragment, Previous ligand: [16*]c1cnn(C)c(=O)c1Cl, New ligand: [16*]c1cnn(C)c(=O)c1Cl, Score: 0.6319597069597069 
Step: add fragment, Previous ligand: [16*]c1cnn(C)c(=O)c1Cl, New ligand: CNc1cnn(C)c(=O)c1Cl, Score: 1.0 
Step: remove fragment, Previous ligand: CNc1cnn(C)c(=O)c1Cl, New ligand: CNc1cnn(C)c(=O)c1Cl, Score: 1.0 
Step: remove fragment, Previous ligand: CNc1cnn(C)c(=O)c1Cl, New ligand: CNc1cnn(C)c(=O)c1Cl, Score: 1.0 
Step: remove fragment, Previous ligand: CNc1cnn(C)c(=O)c1Cl, New ligand: CNc1cnn(C)c(=O)c1Cl, Score: 1.0 
Step: remove fragment, Previous ligand: CNc1cnn(C)c(=O)c1Cl, New ligand: CNc1cnn(C)c(=O)c1Cl, Score: 1.0 
Step: remove fragment, Previous ligand: CNc1cnn(C)c(=O)c1Cl, New ligand: CNc1cnn(C)c(=O)c1Cl, Score: 1.0 
Step: remove fragment, Previous ligand: CNc1cnn(C)c(=O)c1Cl, New ligand: CNc1cnn(C)c(=O)c1Cl, Score: 1.0 
Step: remove fragment, Previous ligand: CNc1cnn(C)c(=O)c1Cl, New ligand: CNc1cnn(C)c(=O)c1Cl, Score: 1.0 
Step: remove fragment, Previous ligand: CNc1cnn(C)c(=O)c1Cl, New ligand: CNc1cnn(C)c(=O)c1Cl, Score: 1.0 
Step: remove fragment, Previous ligand: CNc1cnn(C)c(=O)c1Cl, New ligand: CNc1cnn(C)c(=O)c1Cl, Score: 1.0 
Step: remove fragment, Previous ligand: CNc1cnn(C)c(=O)c1Cl, New ligand: CNc1cnn(C)c(=O)c1Cl, Score: 1.0 
Step: remove fragment, Previous ligand: CNc1cnn(C)c(=O)c1Cl, New ligand: CNc1cnn(C)c(=O)c1Cl, Score: 1.0 
Step: remove fragment, Previous ligand: CNc1cnn(C)c(=O)c1Cl, New ligand: CNc1cnn(C)c(=O)c1Cl, Score: 1.0 
Step: remove fragment, Previous ligand: CNc1cnn(C)c(=O)c1Cl, New ligand: CNc1cnn(C)c(=O)c1Cl, Score: 1.0 
Step: remove fragment, Previous ligand: CNc1cnn(C)c(=O)c1Cl, New ligand: CNc1cnn(C)c(=O)c1Cl, Score: 1.0 
Step: remove fragment, Previous ligand: CNc1cnn(C)c(=O)c1Cl, New ligand: CNc1cnn(C)c(=O)c1Cl, Score: 1.0 
Step: remove fragment, Previous ligand: CNc1cnn(C)c(=O)c1Cl, New ligand: CNc1cnn(C)c(=O)c1Cl, Score: 1.0 
Step: remove fragment, Previous ligand: CNc1cnn(C)c(=O)c1Cl, New ligand: CNc1cnn(C)c(=O)c1Cl, Score: 1.0 
Step: remove fragment, Previous ligand: CNc1cnn(C)c(=O)c1Cl, New ligand: CNc1cnn(C)c(=O)c1Cl, Score: 1.0 
Step: remove fragment, Previous ligand: CNc1cnn(C)c(=O)c1Cl, New ligand: CNc1cnn(C)c(=O)c1Cl, Score: 1.0 
Step: remove fragment, Previous ligand: CNc1cnn(C)c(=O)c1Cl, New ligand: CNc1cnn(C)c(=O)c1Cl, Score: 1.0 
Step: remove fragment, Previous ligand: CNc1cnn(C)c(=O)c1Cl, New ligand: CNc1cnn(C)c(=O)c1Cl, Score: 1.0 
Step: remove fragment, Previous ligand: CNc1cnn(C)c(=O)c1Cl, New ligand: CNc1cnn(C)c(=O)c1Cl, Score: 1.0 
Step: remove fragment, Previous ligand: CNc1cnn(C)c(=O)c1Cl, New ligand: CNc1cnn(C)c(=O)c1Cl, Score: 1.0 
Step: remove fragment, Previous ligand: CNc1cnn(C)c(=O)c1Cl, New ligand: CNc1cnn(C)c(=O)c1Cl, Score: 1.0 
Step: remove fragment, Previous ligand: CNc1cnn(C)c(=O)c1Cl, New ligand: CNc1cnn(C)c(=O)c1Cl, Score: 1.0 
Step: remove fragment, Previous ligand: CNc1cnn(C)c(=O)c1Cl, New ligand: CNc1cnn(C)c(=O)c1Cl, Score: 1.0 
Step: remove fragment, Previous ligand: CNc1cnn(C)c(=O)c1Cl, New ligand: CNc1cnn(C)c(=O)c1Cl, Score: 1.0 
Step: remove fragment, Previous ligand: CNc1cnn(C)c(=O)c1Cl, New ligand: CNc1cnn(C)c(=O)c1Cl, Score: 1.0 
Step: remove fragment, Previous ligand: CNc1cnn(C)c(=O)c1Cl, New ligand: CNc1cnn(C)c(=O)c1Cl, Score: 1.0 
Step: remove fragment, Previous ligand: CNc1cnn(C)c(=O)c1Cl, New ligand: CNc1cnn(C)c(=O)c1Cl, Score: 1.0 
Step: remove fragment, Previous ligand: CNc1cnn(C)c(=O)c1Cl, New ligand: CNc1cnn(C)c(=O)c1Cl, Score: 1.0 
Step: remove fragment, Previous ligand: CNc1cnn(C)c(=O)c1Cl, New ligand: CNc1cnn(C)c(=O)c1Cl, Score: 1.0 
Step: remove fragment, Previous ligand: CNc1cnn(C)c(=O)c1Cl, New ligand: CNc1cnn(C)c(=O)c1Cl, Score: 1.0 
Step: remove fragment, Previous ligand: CNc1cnn(C)c(=O)c1Cl, New ligand: CNc1cnn(C)c(=O)c1Cl, Score: 1.0 
Step: remove fragment, Previous ligand: CNc1cnn(C)c(=O)c1Cl, New ligand: CNc1cnn(C)c(=O)c1Cl, Score: 1.0 
Step: remove fragment, Previous ligand: CNc1cnn(C)c(=O)c1Cl, New ligand: CNc1cnn(C)c(=O)c1Cl, Score: 1.0 
Step: remove fragment, Previous ligand: CNc1cnn(C)c(=O)c1Cl, New ligand: CNc1cnn(C)c(=O)c1Cl, Score: 1.0 
Step: remove fragment, Previous ligand: CNc1cnn(C)c(=O)c1Cl, New ligand: CNc1cnn(C)c(=O)c1Cl, Score: 1.0 
Step: remove fragment, Previous ligand: CNc1cnn(C)c(=O)c1Cl, New ligand: CNc1cnn(C)c(=O)c1Cl, Score: 1.0 
Step: remove fragment, Previous ligand: CNc1cnn(C)c(=O)c1Cl, New ligand: CNc1cnn(C)c(=O)c1Cl, Score: 1.0 
Step: remove fragment, Previous ligand: CNc1cnn(C)c(=O)c1Cl, New ligand: CNc1cnn(C)c(=O)c1Cl, Score: 1.0 
Step: remove fragment, Previous ligand: CNc1cnn(C)c(=O)c1Cl, New ligand: [16*]c1cnn(C)c(=O)c1Cl, Score: 0.6319597069597069 
Step: remove fragment, Previous ligand: [16*]c1cnn(C)c(=O)c1Cl, New ligand: [16*]c1cnn(C)c(=O)c1Cl, Score: 0.6319597069597069 
Step: add fragment, Previous ligand: [16*]c1cnn(C)c(=O)c1Cl, New ligand: CNc1cnn(C)c(=O)c1Cl, Score: 1.0 
Step: remove fragment, Previous ligand: CNc1cnn(C)c(=O)c1Cl, New ligand: CNc1cnn(C)c(=O)c1Cl, Score: 1.0 
Step: remove fragment, Previous ligand: CNc1cnn(C)c(=O)c1Cl, New ligand: [16*]c1cnn(C)c(=O)c1Cl, Score: 0.6319597069597069 
Step: remove fragment, Previous ligand: [16*]c1cnn(C)c(=O)c1Cl, New ligand: [16*]c1cnn(C)c(=O)c1Cl, Score: 0.6319597069597069 
Step: remove fragment, Previous ligand: [16*]c1cnn(C)c(=O)c1Cl, New ligand: [16*]c1cnn(C)c(=O)c1Cl, Score: 0.6319597069597069 
Step: remove fragment, Previous ligand: [16*]c1cnn(C)c(=O)c1Cl, New ligand: [16*]c1cnn(C)c(=O)c1Cl, Score: 0.6319597069597069 
Step: remove fragment, Previous ligand: [16*]c1cnn(C)c(=O)c1Cl, New ligand: [16*]c1cnn(C)c(=O)c1Cl, Score: 0.6319597069597069 
Step: add fragment, Previous ligand: [16*]c1cnn(C)c(=O)c1Cl, New ligand: [16*]c1cnn(C)c(=O)c1Cl, Score: 0.6319597069597069 
Step: add fragment, Previous ligand: [16*]c1cnn(C)c(=O)c1Cl, New ligand: CNc1cnn(C)c(=O)c1Cl, Score: 1.0 
Step: remove fragment, Previous ligand: CNc1cnn(C)c(=O)c1Cl, New ligand: CNc1cnn(C)c(=O)c1Cl, Score: 1.0 
Step: remove fragment, Previous ligand: CNc1cnn(C)c(=O)c1Cl, New ligand: CNc1cnn(C)c(=O)c1Cl, Score: 1.0 
Step: remove fragment, Previous ligand: CNc1cnn(C)c(=O)c1Cl, New ligand: CNc1cnn(C)c(=O)c1Cl, Score: 1.0 
Step: remove fragment, Previous ligand: CNc1cnn(C)c(=O)c1Cl, New ligand: CNc1cnn(C)c(=O)c1Cl, Score: 1.0 
Step: remove fragment, Previous ligand: CNc1cnn(C)c(=O)c1Cl, New ligand: CNc1cnn(C)c(=O)c1Cl, Score: 1.0 
Step: remove fragment, Previous ligand: CNc1cnn(C)c(=O)c1Cl, New ligand: CNc1cnn(C)c(=O)c1Cl, Score: 1.0 
Step: remove fragment, Previous ligand: CNc1cnn(C)c(=O)c1Cl, New ligand: CNc1cnn(C)c(=O)c1Cl, Score: 1.0 
Step: remove fragment, Previous ligand: CNc1cnn(C)c(=O)c1Cl, New ligand: CNc1cnn(C)c(=O)c1Cl, Score: 1.0 
Step: remove fragment, Previous ligand: CNc1cnn(C)c(=O)c1Cl, New ligand: CNc1cnn(C)c(=O)c1Cl, Score: 1.0 
Step: remove fragment, Previous ligand: CNc1cnn(C)c(=O)c1Cl, New ligand: CNc1cnn(C)c(=O)c1Cl, Score: 1.0 
Step: remove fragment, Previous ligand: CNc1cnn(C)c(=O)c1Cl, New ligand: CNc1cnn(C)c(=O)c1Cl, Score: 1.0 
Step: remove fragment, Previous ligand: CNc1cnn(C)c(=O)c1Cl, New ligand: CNc1cnn(C)c(=O)c1Cl, Score: 1.0 
Step: remove fragment, Previous ligand: CNc1cnn(C)c(=O)c1Cl, New ligand: CNc1cnn(C)c(=O)c1Cl, Score: 1.0 
Step: remove fragment, Previous ligand: CNc1cnn(C)c(=O)c1Cl, New ligand: CNc1cnn(C)c(=O)c1Cl, Score: 1.0 
Step: remove fragment, Previous ligand: CNc1cnn(C)c(=O)c1Cl, New ligand: CNc1cnn(C)c(=O)c1Cl, Score: 1.0 
Step: remove fragment, Previous ligand: CNc1cnn(C)c(=O)c1Cl, New ligand: CNc1cnn(C)c(=O)c1Cl, Score: 1.0 
Step: remove fragment, Previous ligand: CNc1cnn(C)c(=O)c1Cl, New ligand: CNc1cnn(C)c(=O)c1Cl, Score: 1.0 
Step: remove fragment, Previous ligand: CNc1cnn(C)c(=O)c1Cl, New ligand: CNc1cnn(C)c(=O)c1Cl, Score: 1.0 
Step: remove fragment, Previous ligand: CNc1cnn(C)c(=O)c1Cl, New ligand: CNc1cnn(C)c(=O)c1Cl, Score: 1.0 
Step: remove fragment, Previous ligand: CNc1cnn(C)c(=O)c1Cl, New ligand: CNc1cnn(C)c(=O)c1Cl, Score: 1.0 
Step: remove fragment, Previous ligand: CNc1cnn(C)c(=O)c1Cl, New ligand: CNc1cnn(C)c(=O)c1Cl, Score: 1.0 
Step: remove fragment, Previous ligand: CNc1cnn(C)c(=O)c1Cl, New ligand: CNc1cnn(C)c(=O)c1Cl, Score: 1.0 
Step: remove fragment, Previous ligand: CNc1cnn(C)c(=O)c1Cl, New ligand: CNc1cnn(C)c(=O)c1Cl, Score: 1.0 
Step: remove fragment, Previous ligand: CNc1cnn(C)c(=O)c1Cl, New ligand: CNc1cnn(C)c(=O)c1Cl, Score: 1.0 
Step: remove fragment, Previous ligand: CNc1cnn(C)c(=O)c1Cl, New ligand: CNc1cnn(C)c(=O)c1Cl, Score: 1.0 
Step: remove fragment, Previous ligand: CNc1cnn(C)c(=O)c1Cl, New ligand: CNc1cnn(C)c(=O)c1Cl, Score: 1.0 
Step: remove fragment, Previous ligand: CNc1cnn(C)c(=O)c1Cl, New ligand: [16*]c1cnn(C)c(=O)c1Cl, Score: 0.6319597069597069 
Step: remove fragment, Previous ligand: CNc1cnn(C)c(=O)c1Cl, New ligand: CNc1cnn(C)c(=O)c1Cl, Score: 1.0 
Step: remove fragment, Previous ligand: CNc1cnn(C)c(=O)c1Cl, New ligand: CNc1cnn(C)c(=O)c1Cl, Score: 1.0 
Step: remove fragment, Previous ligand: CNc1cnn(C)c(=O)c1Cl, New ligand: [16*]c1cnn(C)c(=O)c1Cl, Score: 0.6319597069597069 
Step: add fragment, Previous ligand: [16*]c1cnn(C)c(=O)c1Cl, New ligand: [16*]c1cnn(C)c(=O)c1Cl, Score: 0.6319597069597069 
Step: add fragment, Previous ligand: [16*]c1cnn(C)c(=O)c1Cl, New ligand: CNc1cnn(C)c(=O)c1Cl, Score: 1.0 
Step: remove fragment, Previous ligand: CNc1cnn(C)c(=O)c1Cl, New ligand: CNc1cnn(C)c(=O)c1Cl, Score: 1.0 
Step: remove fragment, Previous ligand: CNc1cnn(C)c(=O)c1Cl, New ligand: CNc1cnn(C)c(=O)c1Cl, Score: 1.0 
Step: remove fragment, Previous ligand: CNc1cnn(C)c(=O)c1Cl, New ligand: CNc1cnn(C)c(=O)c1Cl, Score: 1.0 
Step: remove fragment, Previous ligand: CNc1cnn(C)c(=O)c1Cl, New ligand: CNc1cnn(C)c(=O)c1Cl, Score: 1.0 
Step: remove fragment, Previous ligand: CNc1cnn(C)c(=O)c1Cl, New ligand: CNc1cnn(C)c(=O)c1Cl, Score: 1.0 
Step: remove fragment, Previous ligand: CNc1cnn(C)c(=O)c1Cl, New ligand: CNc1cnn(C)c(=O)c1Cl, Score: 1.0 
Step: remove fragment, Previous ligand: CNc1cnn(C)c(=O)c1Cl, New ligand: [16*]c1cnn(C)c(=O)c1Cl, Score: 0.6319597069597069 
Step: add fragment, Previous ligand: [16*]c1cnn(C)c(=O)c1Cl, New ligand: CNc1cnn(C)c(=O)c1Cl, Score: 1.0 
Step: remove fragment, Previous ligand: CNc1cnn(C)c(=O)c1Cl, New ligand: CNc1cnn(C)c(=O)c1Cl, Score: 1.0 
Step: remove fragment, Previous ligand: CNc1cnn(C)c(=O)c1Cl, New ligand: CNc1cnn(C)c(=O)c1Cl, Score: 1.0 
Step: remove fragment, Previous ligand: CNc1cnn(C)c(=O)c1Cl, New ligand: CNc1cnn(C)c(=O)c1Cl, Score: 1.0 
Step: remove fragment, Previous ligand: CNc1cnn(C)c(=O)c1Cl, New ligand: CNc1cnn(C)c(=O)c1Cl, Score: 1.0 
Step: remove fragment, Previous ligand: CNc1cnn(C)c(=O)c1Cl, New ligand: CNc1cnn(C)c(=O)c1Cl, Score: 1.0 
Step: remove fragment, Previous ligand: CNc1cnn(C)c(=O)c1Cl, New ligand: CNc1cnn(C)c(=O)c1Cl, Score: 1.0 
Step: remove fragment, Previous ligand: CNc1cnn(C)c(=O)c1Cl, New ligand: CNc1cnn(C)c(=O)c1Cl, Score: 1.0 
Step: remove fragment, Previous ligand: CNc1cnn(C)c(=O)c1Cl, New ligand: CNc1cnn(C)c(=O)c1Cl, Score: 1.0 
Step: remove fragment, Previous ligand: CNc1cnn(C)c(=O)c1Cl, New ligand: CNc1cnn(C)c(=O)c1Cl, Score: 1.0 
Step: remove fragment, Previous ligand: CNc1cnn(C)c(=O)c1Cl, New ligand: [16*]c1cnn(C)c(=O)c1Cl, Score: 0.6319597069597069 
Step: remove fragment, Previous ligand: [16*]c1cnn(C)c(=O)c1Cl, New ligand: [16*]c1cnn(C)c(=O)c1Cl, Score: 0.6319597069597069 
Step: remove fragment, Previous ligand: [16*]c1cnn(C)c(=O)c1Cl, New ligand: [16*]c1cnn(C)c(=O)c1Cl, Score: 0.6319597069597069 
Step: remove fragment, Previous ligand: [16*]c1cnn(C)c(=O)c1Cl, New ligand: [16*]c1cnn(C)c(=O)c1Cl, Score: 0.6319597069597069 
Step: remove fragment, Previous ligand: [16*]c1cnn(C)c(=O)c1Cl, New ligand: [16*]c1cnn(C)c(=O)c1Cl, Score: 0.6319597069597069 
Step: remove fragment, Previous ligand: [16*]c1cnn(C)c(=O)c1Cl, New ligand: [16*]c1cnn(C)c(=O)c1Cl, Score: 0.6319597069597069 
Step: add fragment, Previous ligand: [16*]c1cnn(C)c(=O)c1Cl, New ligand: [16*]c1cnn(C)c(=O)c1Cl, Score: 0.6319597069597069 
Step: add fragment, Previous ligand: [16*]c1cnn(C)c(=O)c1Cl, New ligand: [16*]c1cnn(C)c(=O)c1Cl, Score: 0.6319597069597069 
Step: remove fragment, Previous ligand: [16*]c1cnn(C)c(=O)c1Cl, New ligand: [16*]c1cnn(C)c(=O)c1Cl, Score: 0.6319597069597069 
Step: remove fragment, Previous ligand: [16*]c1cnn(C)c(=O)c1Cl, New ligand: [16*]c1cnn(C)c(=O)c1Cl, Score: 0.6319597069597069 
Step: remove fragment, Previous ligand: [16*]c1cnn(C)c(=O)c1Cl, New ligand: [16*]c1cnn(C)c(=O)c1Cl, Score: 0.6319597069597069 
Step: remove fragment, Previous ligand: [16*]c1cnn(C)c(=O)c1Cl, New ligand: [16*]c1cnn(C)c(=O)c1Cl, Score: 0.6319597069597069 
Step: add fragment, Previous ligand: [16*]c1cnn(C)c(=O)c1Cl, New ligand: CNc1cnn(C)c(=O)c1Cl, Score: 1.0 
Step: remove fragment, Previous ligand: CNc1cnn(C)c(=O)c1Cl, New ligand: [16*]c1cnn(C)c(=O)c1Cl, Score: 0.6319597069597069 
Step: remove fragment, Previous ligand: [16*]c1cnn(C)c(=O)c1Cl, New ligand: [16*]c1cnn(C)c(=O)c1Cl, Score: 0.6319597069597069 
