Molecule: ./no_chain/5cqt 
Step: remove fragment, Previous ligand: CCN1C(=O)c2cccc3c(S(=O)(=O)NC4CCCCC4)ccc1c23, New ligand: [5*]NS(=O)(=O)c1ccc2c3c(cccc13)C(=O)N2CC, Score: tensor([0.9114]) 
Step: add fragment, Previous ligand: [5*]NS(=O)(=O)c1ccc2c3c(cccc13)C(=O)N2CC, New ligand: CCN1C(=O)c2cccc3c(S(=O)(=O)NC4CCCCC4)ccc1c23, Score: tensor([0.9235]) 
Step: remove fragment, Previous ligand: CCN1C(=O)c2cccc3c(S(=O)(=O)NC4CCCCC4)ccc1c23, New ligand: CCN1C(=O)c2cccc3c(S(=O)(=O)NC4CCCCC4)ccc1c23, Score: tensor([0.9235]) 
Step: remove fragment, Previous ligand: CCN1C(=O)c2cccc3c(S(=O)(=O)NC4CCCCC4)ccc1c23, New ligand: [5*]NS(=O)(=O)c1ccc2c3c(cccc13)C(=O)N2CC, Score: tensor([0.9110]) 
Step: remove fragment, Previous ligand: [5*]NS(=O)(=O)c1ccc2c3c(cccc13)C(=O)N2CC, New ligand: [5*]NS(=O)(=O)c1ccc2c3c(cccc13)C(=O)N2CC, Score: tensor([0.9110]) 
Step: remove fragment, Previous ligand: [5*]NS(=O)(=O)c1ccc2c3c(cccc13)C(=O)N2CC, New ligand: [5*]NS(=O)(=O)c1ccc2c3c(cccc13)C(=O)N2CC, Score: tensor([0.9110]) 
Step: remove fragment, Previous ligand: [5*]NS(=O)(=O)c1ccc2c3c(cccc13)C(=O)N2CC, New ligand: [5*]NS(=O)(=O)c1ccc2c3c(cccc13)C(=O)N2CC, Score: tensor([0.9110]) 
Step: add fragment, Previous ligand: [5*]NS(=O)(=O)c1ccc2c3c(cccc13)C(=O)N2CC, New ligand: CCN1C(=O)c2cccc3c(S(=O)(=O)NC4CCCCC4)ccc1c23, Score: tensor([0.9246]) 
Step: remove fragment, Previous ligand: CCN1C(=O)c2cccc3c(S(=O)(=O)NC4CCCCC4)ccc1c23, New ligand: [5*]NS(=O)(=O)c1ccc2c3c(cccc13)C(=O)N2CC, Score: tensor([0.9111]) 
Step: remove fragment, Previous ligand: [5*]NS(=O)(=O)c1ccc2c3c(cccc13)C(=O)N2CC, New ligand: [5*]NS(=O)(=O)c1ccc2c3c(cccc13)C(=O)N2CC, Score: tensor([0.9111]) 
Step: add fragment, Previous ligand: [5*]NS(=O)(=O)c1ccc2c3c(cccc13)C(=O)N2CC, New ligand: CCN1C(=O)c2cccc3c(S(=O)(=O)NS(=O)(=O)c4ccc5c6c(cccc46)C(=O)N5CC)ccc1c23, Score: tensor([0.7285]) 
Step: remove fragment, Previous ligand: CCN1C(=O)c2cccc3c(S(=O)(=O)NS(=O)(=O)c4ccc5c6c(cccc46)C(=O)N5CC)ccc1c23, New ligand: [5*]NS(=O)(=O)c1ccc2c3c(cccc13)C(=O)N2CC, Score: tensor([0.9115]) 
Step: add fragment, Previous ligand: [5*]NS(=O)(=O)c1ccc2c3c(cccc13)C(=O)N2CC, New ligand: [5*]NS(=O)(=O)c1ccc2c3c(cccc13)C(=O)N2CC, Score: tensor([0.9115]) 
Step: add fragment, Previous ligand: [5*]NS(=O)(=O)c1ccc2c3c(cccc13)C(=O)N2CC, New ligand: [5*]NS(=O)(=O)c1ccc2c3c(cccc13)C(=O)N2CC, Score: tensor([0.9115]) 
Step: add fragment, Previous ligand: [5*]NS(=O)(=O)c1ccc2c3c(cccc13)C(=O)N2CC, New ligand: CCN1C(=O)c2cccc3c(S(=O)(=O)NS(=O)(=O)c4ccc5c6c(cccc46)C(=O)N5CC)ccc1c23, Score: tensor([0.7380]) 
Step: remove fragment, Previous ligand: CCN1C(=O)c2cccc3c(S(=O)(=O)NS(=O)(=O)c4ccc5c6c(cccc46)C(=O)N5CC)ccc1c23, New ligand: [5*]NS(=O)(=O)c1ccc2c3c(cccc13)C(=O)N2CC, Score: tensor([0.9112]) 
Step: add fragment, Previous ligand: [5*]NS(=O)(=O)c1ccc2c3c(cccc13)C(=O)N2CC, New ligand: CCN1C(=O)c2cccc3c(S(=O)(=O)NC4CCCCC4)ccc1c23, Score: tensor([0.9242]) 
Step: remove fragment, Previous ligand: CCN1C(=O)c2cccc3c(S(=O)(=O)NC4CCCCC4)ccc1c23, New ligand: CCN1C(=O)c2cccc3c(S(=O)(=O)NC4CCCCC4)ccc1c23, Score: tensor([0.9242]) 
Step: remove fragment, Previous ligand: CCN1C(=O)c2cccc3c(S(=O)(=O)NC4CCCCC4)ccc1c23, New ligand: [5*]NS(=O)(=O)c1ccc2c3c(cccc13)C(=O)N2CC, Score: tensor([0.9112]) 
Step: remove fragment, Previous ligand: [5*]NS(=O)(=O)c1ccc2c3c(cccc13)C(=O)N2CC, New ligand: [5*]NS(=O)(=O)c1ccc2c3c(cccc13)C(=O)N2CC, Score: tensor([0.9112]) 
Step: remove fragment, Previous ligand: [5*]NS(=O)(=O)c1ccc2c3c(cccc13)C(=O)N2CC, New ligand: [5*]NS(=O)(=O)c1ccc2c3c(cccc13)C(=O)N2CC, Score: tensor([0.9112]) 
Step: remove fragment, Previous ligand: [5*]NS(=O)(=O)c1ccc2c3c(cccc13)C(=O)N2CC, New ligand: [5*]NS(=O)(=O)c1ccc2c3c(cccc13)C(=O)N2CC, Score: tensor([0.9112]) 
Step: remove fragment, Previous ligand: [5*]NS(=O)(=O)c1ccc2c3c(cccc13)C(=O)N2CC, New ligand: [5*]NS(=O)(=O)c1ccc2c3c(cccc13)C(=O)N2CC, Score: tensor([0.9112]) 
Step: add fragment, Previous ligand: [5*]NS(=O)(=O)c1ccc2c3c(cccc13)C(=O)N2CC, New ligand: CCN1C(=O)c2cccc3c(S(=O)(=O)NC4CCCCC4)ccc1c23, Score: tensor([0.9238]) 
Step: remove fragment, Previous ligand: CCN1C(=O)c2cccc3c(S(=O)(=O)NC4CCCCC4)ccc1c23, New ligand: [5*]NS(=O)(=O)c1ccc2c3c(cccc13)C(=O)N2CC, Score: tensor([0.9112]) 
Step: remove fragment, Previous ligand: CCN1C(=O)c2cccc3c(S(=O)(=O)NC4CCCCC4)ccc1c23, New ligand: [5*]NS(=O)(=O)c1ccc2c3c(cccc13)C(=O)N2CC, Score: tensor([0.9111]) 
Step: remove fragment, Previous ligand: [5*]NS(=O)(=O)c1ccc2c3c(cccc13)C(=O)N2CC, New ligand: [5*]NS(=O)(=O)c1ccc2c3c(cccc13)C(=O)N2CC, Score: tensor([0.9111]) 
Step: add fragment, Previous ligand: [5*]NS(=O)(=O)c1ccc2c3c(cccc13)C(=O)N2CC, New ligand: CCN1C(=O)c2cccc3c(S(=O)(=O)NC4CCCCC4)ccc1c23, Score: tensor([0.9237]) 
Step: remove fragment, Previous ligand: CCN1C(=O)c2cccc3c(S(=O)(=O)NC4CCCCC4)ccc1c23, New ligand: CCN1C(=O)c2cccc3c(S(=O)(=O)NC4CCCCC4)ccc1c23, Score: tensor([0.9237]) 
Step: remove fragment, Previous ligand: CCN1C(=O)c2cccc3c(S(=O)(=O)NC4CCCCC4)ccc1c23, New ligand: CCN1C(=O)c2cccc3c(S(=O)(=O)NC4CCCCC4)ccc1c23, Score: tensor([0.9237]) 
Step: remove fragment, Previous ligand: CCN1C(=O)c2cccc3c(S(=O)(=O)NC4CCCCC4)ccc1c23, New ligand: [5*]NS(=O)(=O)c1ccc2c3c(cccc13)C(=O)N2CC, Score: tensor([0.9110]) 
Step: remove fragment, Previous ligand: [5*]NS(=O)(=O)c1ccc2c3c(cccc13)C(=O)N2CC, New ligand: [5*]NS(=O)(=O)c1ccc2c3c(cccc13)C(=O)N2CC, Score: tensor([0.9110]) 
