Molecule: ./no_chain/2yek 
Step: add fragment, Previous ligand: [4*]CC, New ligand: [5*]NCC, Score: tensor([0.4037]) 
Step: add fragment, Previous ligand: [4*]CC, New ligand: CCOC, Score: tensor([0.3923]) 
Step: remove fragment, Previous ligand: CCOC, New ligand: [3*]OC, Score: tensor([0.3687]) 
Step: remove fragment, Previous ligand: [3*]OC, New ligand: [3*]OC, Score: tensor([0.3687]) 
Step: add fragment, Previous ligand: [3*]OC, New ligand: [1*]C(=O)C[C@@H]1N=C(c2ccc(Cl)cc2)c2cc(OC)ccc2-n2c(C)nnc21, Score: tensor([0.9060]) 
Step: add fragment, Previous ligand: [1*]C(=O)C[C@@H]1N=C(c2ccc(Cl)cc2)c2cc(OC)ccc2-n2c(C)nnc21, New ligand: [5*]NC(=O)C[C@@H]1N=C(c2ccc(Cl)cc2)c2cc(OC)ccc2-n2c(C)nnc21, Score: tensor([0.9186]) 
Step: add fragment, Previous ligand: [5*]NC(=O)C[C@@H]1N=C(c2ccc(Cl)cc2)c2cc(OC)ccc2-n2c(C)nnc21, New ligand: CCNC(=O)C[C@@H]1N=C(c2ccc(Cl)cc2)c2cc(OC)ccc2-n2c(C)nnc21, Score: tensor([0.9136]) 
Step: remove fragment, Previous ligand: CCNC(=O)C[C@@H]1N=C(c2ccc(Cl)cc2)c2cc(OC)ccc2-n2c(C)nnc21, New ligand: [1*]C(=O)C[C@@H]1N=C(c2ccc(Cl)cc2)c2cc(OC)ccc2-n2c(C)nnc21, Score: tensor([0.9061]) 
Step: add fragment, Previous ligand: [1*]C(=O)C[C@@H]1N=C(c2ccc(Cl)cc2)c2cc(OC)ccc2-n2c(C)nnc21, New ligand: COC(=O)C[C@@H]1N=C(c2ccc(Cl)cc2)c2cc(OC)ccc2-n2c(C)nnc21, Score: tensor([0.9055]) 
Step: remove fragment, Previous ligand: COC(=O)C[C@@H]1N=C(c2ccc(Cl)cc2)c2cc(OC)ccc2-n2c(C)nnc21, New ligand: COC(=O)C[C@@H]1N=C(c2ccc(Cl)cc2)c2cc(OC)ccc2-n2c(C)nnc21, Score: tensor([0.9055]) 
Step: remove fragment, Previous ligand: COC(=O)C[C@@H]1N=C(c2ccc(Cl)cc2)c2cc(OC)ccc2-n2c(C)nnc21, New ligand: [16*]c1ccc2c(c1)C(c1ccc(Cl)cc1)=N[C@@H](CC(=O)OC)c1nnc(C)n1-2, Score: tensor([0.9060]) 
Step: remove fragment, Previous ligand: [16*]c1ccc2c(c1)C(c1ccc(Cl)cc1)=N[C@@H](CC(=O)OC)c1nnc(C)n1-2, New ligand: [16*]c1ccc2c(c1)C(c1ccc(Cl)cc1)=N[C@@H](CC(=O)OC)c1nnc(C)n1-2, Score: tensor([0.9060]) 
Step: remove fragment, Previous ligand: [16*]c1ccc2c(c1)C(c1ccc(Cl)cc1)=N[C@@H](CC(=O)OC)c1nnc(C)n1-2, New ligand: [16*]c1ccc2c(c1)C(c1ccc(Cl)cc1)=N[C@@H](CC(=O)OC)c1nnc(C)n1-2, Score: tensor([0.9060]) 
Step: remove fragment, Previous ligand: [5*]NC(=O)C[C@@H]1N=C(c2ccc(Cl)cc2)c2cc(OC)ccc2-n2c(C)nnc21, New ligand: [5*]NC(=O)C[C@@H]1N=C(c2ccc(Cl)cc2)c2cc(OC)ccc2-n2c(C)nnc21, Score: tensor([0.9188]) 
Step: remove fragment, Previous ligand: [5*]NC(=O)C[C@@H]1N=C(c2ccc(Cl)cc2)c2cc(OC)ccc2-n2c(C)nnc21, New ligand: [5*]NC(=O)C[C@@H]1N=C(c2ccc(Cl)cc2)c2cc(OC)ccc2-n2c(C)nnc21, Score: tensor([0.9188]) 
